sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
1,1,1,calib_01_center_high,-0.8682331442832947,-0.4632622003555298,1.182699203491211,-0.46479618549346924,-1.7626196495257318e-05,272,223,0.9800000667572022,0.9062252044677734,"[230.55657958984375, 183.53506469726562, 315.35394287109375, 263.7308654785156]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0001_cycle_01_pose_01_calib_01_center_high.jpg
2,1,1,calib_01_center_high,-0.6810874938964844,-0.5062136650085449,1.1106021404266357,-0.4387184977531433,-1.7626196495257318e-05,276,215,0.9670000553131104,0.9190653562545776,"[231.74652099609375, 176.70394897460938, 320.33111572265625, 253.44876098632812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0002_cycle_01_pose_01_calib_01_center_high.jpg
3,1,1,calib_01_center_high,-0.401902973651886,-0.5675728917121887,1.0047574043273926,-0.40343695878982544,-1.7626196495257318e-05,290,206,0.9390000581741333,0.9371874928474426,"[240.64205932617188, 165.94223022460938, 340.3999328613281, 248.00091552734375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0003_cycle_01_pose_01_calib_01_center_high.jpg
4,1,1,calib_01_center_high,-0.21629129350185394,-0.6059224009513855,0.9357282519340515,-0.37889325618743896,-1.7626196495257318e-05,316,185,0.9060000658035279,0.9384286403656006,"[265.6266174316406, 146.13668823242188, 366.7167663574219, 223.86856079101562]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0004_cycle_01_pose_01_calib_01_center_high.jpg
5,1,1,calib_01_center_high,-0.03374757617712021,-0.6442719101905823,0.859029233455658,-0.35588353872299194,-1.7626196495257318e-05,337,173,0.8910000205039978,0.9594969153404236,"[289.75537109375, 136.23709106445312, 384.6846923828125, 210.43246459960938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0005_cycle_01_pose_01_calib_01_center_high.jpg
6,1,2,calib_02_center_mid,0.003067961661145091,-0.6519418358802795,0.8482913970947266,-0.35128161311149597,-1.7626196495257318e-05,356,157,0.8910000205039978,0.9426568150520325,"[308.76568603515625, 123.05543518066406, 404.72918701171875, 192.1321563720703]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0006_cycle_01_pose_02_calib_02_center_mid.jpg
7,1,2,calib_02_center_mid,0.003067961661145091,-0.6841554045677185,0.8651651740074158,-0.3497476279735565,-1.7626196495257318e-05,359,155,0.8870000123977662,0.9514807462692261,"[311.88348388671875, 120.33242797851562, 407.76654052734375, 190.44943237304688]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0007_cycle_01_pose_02_calib_02_center_mid.jpg
8,1,2,calib_02_center_mid,0.003067961661145091,-0.7209709882736206,0.9096506237983704,-0.3497476279735565,-1.7626196495257318e-05,359,154,0.8890000462532044,0.9480578303337097,"[311.7889404296875, 119.44400024414062, 406.779296875, 188.627197265625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0008_cycle_01_pose_02_calib_02_center_mid.jpg
9,1,2,calib_02_center_mid,0.0015339808305725455,-0.7577865123748779,0.9480001330375671,-0.3497476279735565,-1.7626196495257318e-05,359,156,0.8950000286102295,0.9497846364974976,"[311.56591796875, 122.35590362548828, 406.884033203125, 190.376708984375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0009_cycle_01_pose_02_calib_02_center_mid.jpg
10,1,2,calib_02_center_mid,0.0015339808305725455,-0.7930680513381958,0.9878836274147034,-0.35128161311149597,-1.7626196495257318e-05,359,158,0.900000023841858,0.9420220851898193,"[311.594482421875, 124.87051391601562, 406.4417724609375, 192.03805541992188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0010_cycle_01_pose_02_calib_02_center_mid.jpg
11,1,2,calib_02_center_mid,-2.0694557179012918e-13,-0.8298836350440979,1.026233196258545,-0.35128161311149597,-1.7626196495257318e-05,358,160,0.9070000529289246,0.945438802242279,"[310.998779296875, 127.6949234008789, 405.6505126953125, 193.76657104492188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0011_cycle_01_pose_02_calib_02_center_mid.jpg
12,1,2,calib_02_center_mid,-2.0694557179012918e-13,-0.8513593077659607,1.0477088689804077,-0.35128161311149597,4.259199937184377e-10,357,162,0.912000048160553,0.9455651640892029,"[310.93646240234375, 129.0771484375, 404.91522216796875, 195.62127685546875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0012_cycle_01_pose_02_calib_02_center_mid.jpg
13,1,3,calib_03_center_low,-2.0694557179012918e-13,-0.8513593077659607,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,357,163,0.9210000514984131,0.9577648043632507,"[310.87591552734375, 130.28903198242188, 403.939453125, 197.44158935546875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0013_cycle_01_pose_03_calib_03_center_low.jpg
14,1,3,calib_03_center_low,-2.0694557179012918e-13,-0.8973787426948547,1.0891263484954834,-0.37275734543800354,-1.7626196495257318e-05,357,163,0.9200000643730164,0.9548670053482056,"[310.7291259765625, 130.1612548828125, 404.1143798828125, 197.32952880859375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0014_cycle_01_pose_03_calib_03_center_low.jpg
15,1,3,calib_03_center_low,-2.0694557179012918e-13,-0.9387962222099304,1.1320778131484985,-0.3942330479621887,-1.7626196495257318e-05,356,163,0.9240000128746033,0.9572274088859558,"[310.6302490234375, 130.71429443359375, 403.060791015625, 196.91192626953125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0015_cycle_01_pose_03_calib_03_center_low.jpg
16,1,3,calib_03_center_low,-2.0694557179012918e-13,-0.9740778207778931,1.1688933372497559,-0.4111068546772003,-1.7626196495257318e-05,356,165,0.928000020980835,0.9496625065803528,"[310.0064697265625, 132.54420471191406, 402.4327392578125, 197.8373260498047]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0016_cycle_01_pose_03_calib_03_center_low.jpg
17,1,3,calib_03_center_low,-2.0694557179012918e-13,-1.0185632705688477,1.2133787870407104,-0.43411657214164734,-1.7626196495257318e-05,355,165,0.9300000548362732,0.9469748139381409,"[309.35650634765625, 132.82125854492188, 401.4320068359375, 198.07559204101562]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0017_cycle_01_pose_03_calib_03_center_low.jpg
18,1,3,calib_03_center_low,-2.0694557179012918e-13,-1.052310824394226,1.2486603260040283,-0.45099034905433655,-1.7626196495257318e-05,355,167,0.9330000162124634,0.9355555176734924,"[309.2398681640625, 134.79791259765625, 401.05474853515625, 199.97503662109375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0018_cycle_01_pose_03_calib_03_center_low.jpg
19,1,4,calib_04_left_front,-0.0015339808305725455,-1.052310824394226,1.2486603260040283,-0.452524334192276,-1.7626196495257318e-05,354,168,0.9420000195503235,0.9253660440444946,"[309.23797607421875, 136.2344970703125, 400.20196533203125, 201.09185791015625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0019_cycle_01_pose_04_calib_04_left_front.jpg
20,1,4,calib_04_left_front,-0.09357282519340515,-0.7010292410850525,0.9633399248123169,-0.4555923044681549,-1.7626196495257318e-05,354,168,0.9420000195503235,0.9273870587348938,"[309.1307678222656, 136.27056884765625, 400.1390075683594, 201.03121948242188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0020_cycle_01_pose_04_calib_04_left_front.jpg
21,1,4,calib_04_left_front,-0.18561168015003204,-0.3405437469482422,0.6580777764320374,-0.4601942300796509,-1.7626196495257318e-05,348,160,0.8970000624656678,0.9449816942214966,"[301.24517822265625, 127.52618408203125, 396.597412109375, 192.93240356445312]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0021_cycle_01_pose_04_calib_04_left_front.jpg
22,1,4,calib_04_left_front,-0.2991262674331665,0.10124272853136063,0.2883884012699127,-0.4663301706314087,-1.7626196495257318e-05,336,162,0.8560000538825989,0.9490485787391663,"[287.04510498046875, 125.63810729980469, 386.3056640625, 199.90159606933594]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0022_cycle_01_pose_04_calib_04_left_front.jpg
23,1,4,calib_04_left_front,-0.39269909262657166,0.46172821521759033,-0.01073786523193121,-0.47093209624290466,-1.7626196495257318e-05,310,183,0.8180000066757203,0.9434895515441895,"[256.13250732421875, 142.05230712890625, 365.43475341796875, 224.77105712890625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0023_cycle_01_pose_04_calib_04_left_front.jpg
24,1,4,calib_04_left_front,-0.4862719178199768,0.8237476944923401,-0.31139808893203735,-0.475534051656723,-1.7626196495257318e-05,281,219,0.7970000386238099,0.9355183839797974,"[222.86874389648438, 172.55386352539062, 339.6769104003906, 266.6233825683594]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0024_cycle_01_pose_04_calib_04_left_front.jpg
25,1,5,calib_05_left_mid,-0.5016117095947266,0.8759030103683472,-0.35588353872299194,-0.475534051656723,-1.7626196495257318e-05,252,266,0.7930000305175782,0.9405920505523682,"[190.802001953125, 214.40101623535156, 314.2226867675781, 318.5704345703125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0025_cycle_01_pose_05_calib_05_left_mid.jpg
26,1,5,calib_05_left_mid,-0.5721748471260071,0.6979612708091736,-0.1365242898464203,-0.4770680367946625,-1.7626196495257318e-05,249,273,0.7940000176429749,0.9502429366111755,"[188.254150390625, 221.99664306640625, 311.03704833984375, 324.198974609375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0026_cycle_01_pose_05_calib_05_left_mid.jpg
27,1,5,calib_05_left_mid,-0.6872233748435974,0.38196122646331787,0.2346990555524826,-0.4770680367946625,-1.7626196495257318e-05,241,259,0.8150000452995301,0.945015013217926,"[181.98291015625, 209.39169311523438, 300.53936767578125, 309.2841491699219]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0027_cycle_01_pose_05_calib_05_left_mid.jpg
28,1,5,calib_05_left_mid,-0.7792622447013855,0.13038836419582367,0.5338253378868103,-0.4770680367946625,-1.7626196495257318e-05,235,234,0.8600000619888306,0.947007417678833,"[181.76849365234375, 188.10784912109375, 288.50177001953125, 281.6882019042969]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0028_cycle_01_pose_05_calib_05_left_mid.jpg
29,1,5,calib_05_left_mid,-0.8697671294212341,-0.11351457983255386,0.8237476944923401,-0.4770680367946625,-1.7626196495257318e-05,239,224,0.8880000591278077,0.9503335952758789,"[188.28164672851562, 178.2891845703125, 289.9791564941406, 269.9912109375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0029_cycle_01_pose_05_calib_05_left_mid.jpg
30,1,5,calib_05_left_mid,-0.9618059396743774,-0.3574175238609314,1.1182719469070435,-0.4770680367946625,-1.7626196495257318e-05,251,219,0.9160000562667847,0.9440173506736755,"[203.73715209960938, 175.51828002929688, 299.7825927734375, 263.3870849609375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0030_cycle_01_pose_05_calib_05_left_mid.jpg
31,1,6,calib_06_right_mid,-0.9986214637756348,-0.4555923044681549,1.2379225492477417,-0.4770680367946625,-1.7626196495257318e-05,264,219,0.9600000262260437,0.9418075084686279,"[220.49871826171875, 177.720458984375, 307.57574462890625, 260.92626953125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0031_cycle_01_pose_06_calib_06_right_mid.jpg
32,1,6,calib_06_right_mid,-0.6504078507423401,-0.4663301706314087,1.2363885641098022,-0.4770680367946625,-1.7626196495257318e-05,270,221,0.9800000667572022,0.9130271673202515,"[228.6460723876953, 181.51068115234375, 312.67926025390625, 261.367431640625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0032_cycle_01_pose_06_calib_06_right_mid.jpg
